month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-05,0002,2-39-83-386,America/Los_Angeles,CA-212,93.352
2018-06,0002,2-39-83-386,America/Los_Angeles,CA-212,15.277999999999999
2018-07,0002,2-39-83-386,America/Los_Angeles,CA-212,85.586
2018-08,0002,2-39-83-386,America/Los_Angeles,CA-212,86.712
2018-09,0002,2-39-83-386,America/Los_Angeles,CA-212,95.46602666666666
2018-10,0002,2-39-83-386,America/Los_Angeles,CA-212,282.117
2018-11,0002,2-39-83-386,America/Los_Angeles,CA-212,97.119
2018-12,0002,2-39-83-386,America/Los_Angeles,CA-212,144.716
2019-01,0002,2-39-83-386,America/Los_Angeles,CA-212,185.975
2019-02,0002,2-39-83-386,America/Los_Angeles,CA-212,257.537
2019-03,0002,2-39-83-386,America/Los_Angeles,CA-212,69.866
2019-04,0002,2-39-83-386,America/Los_Angeles,CA-212,33.186
