month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-04,0002,2-39-78-362,America/Los_Angeles,CA-496,65.138
2018-05,0002,2-39-78-362,America/Los_Angeles,CA-496,234.54812813618736
2018-06,0002,2-39-78-362,America/Los_Angeles,CA-496,219.76681302268935
2018-07,0002,2-39-78-362,America/Los_Angeles,CA-496,288.03059617681697
2018-08,0002,2-39-78-362,America/Los_Angeles,CA-496,283.167
2018-09,0002,2-39-78-362,America/Los_Angeles,CA-496,323.3015197132011
2018-10,0002,2-39-78-362,America/Los_Angeles,CA-496,232.94449820776873
2018-11,0002,2-39-78-362,America/Los_Angeles,CA-496,137.6282849462208
2018-12,0002,2-39-78-362,America/Los_Angeles,CA-496,103.638
2019-01,0002,2-39-78-362,America/Los_Angeles,CA-496,81.144
2019-02,0002,2-39-78-362,America/Los_Angeles,CA-496,129.664
2019-03,0002,2-39-78-362,America/Los_Angeles,CA-496,30.122999999999998
2019-04,0002,2-39-78-362,America/Los_Angeles,CA-496,14.264999999999999
