month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-04,0002,2-39-89-25,America/Los_Angeles,CA-315,84.47
2018-05,0002,2-39-89-25,America/Los_Angeles,CA-315,416.796
2018-06,0002,2-39-89-25,America/Los_Angeles,CA-315,449.65999999999997
2018-07,0002,2-39-89-25,America/Los_Angeles,CA-315,642.669
2018-08,0002,2-39-89-25,America/Los_Angeles,CA-315,631.207
2018-09,0002,2-39-89-25,America/Los_Angeles,CA-315,634.331
2018-10,2,2-39-89-25,America/Los_Angeles,CA-315,622.9553333333333
2018-10,0002,2-39-89-25,America/Los_Angeles,CA-315,33.943000000000005
2018-11,0002,2-39-89-25,America/Los_Angeles,CA-315,415.99
2018-12,0002,2-39-89-25,America/Los_Angeles,CA-315,379.578
2019-01,0002,2-39-89-25,America/Los_Angeles,CA-315,410.913
2019-02,0002,2-39-89-25,America/Los_Angeles,CA-315,285.595
2019-03,0002,2-39-89-25,America/Los_Angeles,CA-315,330.447
2019-04,0002,2-39-89-25,America/Los_Angeles,CA-315,96.178
