month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-04,0002,2-39-79-377,America/Los_Angeles,CA-325,53.304
2018-05,0002,2-39-79-377,America/Los_Angeles,CA-325,465.931
2018-06,0002,2-39-79-377,America/Los_Angeles,CA-325,696.61
2018-07,0002,2-39-79-377,America/Los_Angeles,CA-325,527.9590127777777
2018-08,0002,2-39-79-377,America/Los_Angeles,CA-325,397.268335
2018-09,0002,2-39-79-377,America/Los_Angeles,CA-325,551.005
2018-10,2,2-39-79-377,America/Los_Angeles,CA-325,567.08
2018-10,0002,2-39-79-377,America/Los_Angeles,CA-325,65.492
2018-11,0002,2-39-79-377,America/Los_Angeles,CA-325,472.943
2018-12,0002,2-39-79-377,America/Los_Angeles,CA-325,338.471
2019-01,0002,2-39-79-377,America/Los_Angeles,CA-325,321.39500000000004
2019-02,0002,2-39-79-377,America/Los_Angeles,CA-325,424.338
2019-03,0002,2-39-79-377,America/Los_Angeles,CA-325,392.642
2019-04,0002,2-39-79-377,America/Los_Angeles,CA-325,126.951
