month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-04,0002,2-39-130-31,America/Los_Angeles,CA-306,27.726
2018-05,0002,2-39-130-31,America/Los_Angeles,CA-306,238.886
2018-06,0002,2-39-130-31,America/Los_Angeles,CA-306,376.209
2018-07,0002,2-39-130-31,America/Los_Angeles,CA-306,443.194
2018-08,0002,2-39-130-31,America/Los_Angeles,CA-306,630.6708097222222
2018-09,0002,2-39-130-31,America/Los_Angeles,CA-306,684.0938425
2018-10,2,2-39-130-31,America/Los_Angeles,CA-306,725.667
2018-10,0002,2-39-130-31,America/Los_Angeles,CA-306,140.29
2018-11,0002,2-39-130-31,America/Los_Angeles,CA-306,217.538
2018-12,0002,2-39-130-31,America/Los_Angeles,CA-306,151.597
2019-01,0002,2-39-130-31,America/Los_Angeles,CA-306,275.94100000000003
2019-02,0002,2-39-130-31,America/Los_Angeles,CA-306,177.844
2019-03,0002,2-39-130-31,America/Los_Angeles,CA-306,252.069
2019-04,0002,2-39-130-31,America/Los_Angeles,CA-306,34.095
