month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-04,0002,2-39-79-383,America/Los_Angeles,CA-492,68.124
2018-05,0002,2-39-79-383,America/Los_Angeles,CA-492,319.723
2018-06,0002,2-39-79-383,America/Los_Angeles,CA-492,447.192
2018-07,0002,2-39-79-383,America/Los_Angeles,CA-492,557.967
2018-08,0002,2-39-79-383,America/Los_Angeles,CA-492,524.301
2018-09,0002,2-39-79-383,America/Los_Angeles,CA-492,429.7902463888889
2018-10,0002,2-39-79-383,America/Los_Angeles,CA-492,474.3038113888889
2018-11,0002,2-39-79-383,America/Los_Angeles,CA-492,262.196
2018-12,0002,2-39-79-383,America/Los_Angeles,CA-492,197.609
2019-01,0002,2-39-79-383,America/Los_Angeles,CA-492,229.23600000000002
2019-02,0002,2-39-79-383,America/Los_Angeles,CA-492,288.653
2019-03,0002,2-39-79-383,America/Los_Angeles,CA-492,200.759
2019-04,0002,2-39-79-383,America/Los_Angeles,CA-492,74.032
