month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-04,0002,2-39-128-18,America/Los_Angeles,CA-308,29.860999999999997
2018-05,0002,2-39-128-18,America/Los_Angeles,CA-308,264.741
2018-06,0002,2-39-128-18,America/Los_Angeles,CA-308,315.365
2018-07,0002,2-39-128-18,America/Los_Angeles,CA-308,440.986
2018-08,0002,2-39-128-18,America/Los_Angeles,CA-308,492.557
2018-09,0002,2-39-128-18,America/Los_Angeles,CA-308,533.208
2018-10,2,2-39-128-18,America/Los_Angeles,CA-308,622.3464852777778
2018-10,0002,2-39-128-18,America/Los_Angeles,CA-308,89.8648625
2018-11,0002,2-39-128-18,America/Los_Angeles,CA-308,193.384
2018-12,0002,2-39-128-18,America/Los_Angeles,CA-308,126.883
2019-01,0002,2-39-128-18,America/Los_Angeles,CA-308,241.849
2019-02,0002,2-39-128-18,America/Los_Angeles,CA-308,71.847
2019-03,0002,2-39-128-18,America/Los_Angeles,CA-308,133.781
2019-04,0002,2-39-128-18,America/Los_Angeles,CA-308,77.766
