month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-06,0002,2-39-83-387,America/Los_Angeles,CA-149,23.329
2018-07,0002,2-39-83-387,America/Los_Angeles,CA-149,55.234
2018-08,0002,2-39-83-387,America/Los_Angeles,CA-149,53.516
2018-09,0002,2-39-83-387,America/Los_Angeles,CA-149,117.392
2018-10,2,2-39-83-387,America/Los_Angeles,CA-149,76.332
2018-10,0002,2-39-83-387,America/Los_Angeles,CA-149,35.814
2018-11,0002,2-39-83-387,America/Los_Angeles,CA-149,26.261
2018-12,0002,2-39-83-387,America/Los_Angeles,CA-149,48.537
2019-01,0002,2-39-83-387,America/Los_Angeles,CA-149,12.626
2019-02,0002,2-39-83-387,America/Los_Angeles,CA-149,12.626000000000001
