month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-04,0002,2-39-78-361,America/Los_Angeles,CA-493,45.411
2018-05,0002,2-39-78-361,America/Los_Angeles,CA-493,157.1424339904419
2018-06,0002,2-39-78-361,America/Los_Angeles,CA-493,331.43766487455304
2018-07,0002,2-39-78-361,America/Los_Angeles,CA-493,192.54423745519694
2018-08,0002,2-39-78-361,America/Los_Angeles,CA-493,373.66
2018-09,0002,2-39-78-361,America/Los_Angeles,CA-493,299.71821236557236
2018-10,2,2-39-78-361,America/Los_Angeles,CA-493,220.46828106331466
2018-10,0002,2-39-78-361,America/Los_Angeles,CA-493,47.2937813620094
2018-11,0002,2-39-78-361,America/Los_Angeles,CA-493,147.721224611707
2018-12,0002,2-39-78-361,America/Los_Angeles,CA-493,126.72200000000001
2019-01,0002,2-39-78-361,America/Los_Angeles,CA-493,174.917
2019-02,0002,2-39-78-361,America/Los_Angeles,CA-493,192.304
2019-03,0002,2-39-78-361,America/Los_Angeles,CA-493,208.631
2019-04,0002,2-39-78-361,America/Los_Angeles,CA-493,42.887
