month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-04,0002,2-39-123-557,America/Los_Angeles,CA-503,22.432000000000002
2018-05,0002,2-39-123-557,America/Los_Angeles,CA-503,224.29
2018-06,0002,2-39-123-557,America/Los_Angeles,CA-503,171.03
2018-07,0002,2-39-123-557,America/Los_Angeles,CA-503,272.148
2018-08,0002,2-39-123-557,America/Los_Angeles,CA-503,272.058
2018-09,0002,2-39-123-557,America/Los_Angeles,CA-503,250.167
2018-10,2,2-39-123-557,America/Los_Angeles,CA-503,268.55603305555553
2018-10,0002,2-39-123-557,America/Los_Angeles,CA-503,42.867000000000004
2018-11,0002,2-39-123-557,America/Los_Angeles,CA-503,208.068
2018-12,0002,2-39-123-557,America/Los_Angeles,CA-503,74.346
2019-01,0002,2-39-123-557,America/Los_Angeles,CA-503,63.322
2019-02,0002,2-39-123-557,America/Los_Angeles,CA-503,89.517
2019-03,0002,2-39-123-557,America/Los_Angeles,CA-503,17.128
