month,MinTemp,MaxTemp,AvgTemp,AvgPrecipitation,AvgHumidity,AvgWindSpeed
2018-04,8,32,17.8,0.0020833333333333333,46.15833333333333,8.9125
2018-05,11,32,18.29032258064516,0.00685483870967742,56.45161290322581,9.504032258064516
2018-06,14,32,22.433333333333334,0.0,50.483333333333334,9.220833333333333
2018-07,17,44,27.548387096774192,0.0,46.76209677419355,8.536290322580646
2018-08,18,38,26.516129032258064,0.0,47.41129032258065,8.705645161290322
2018-09,17,35,24.533333333333335,0.0,49.204166666666666,7.2875
2018-10,14,32,21.06451612903226,0.021370967741935483,47.125,6.241935483870968
2018-11,11,32,17.733333333333334,0.05833333333333333,38.8125,6.316666666666666
2018-12,5,25,13.225806451612904,0.06733870967741937,44.79032258064516,5.92741935483871
2019-01,3,25,12.838709677419354,0.23225806451612904,50.44758064516129,6.814516129032258
2019-02,3,19,9.892857142857142,0.315625,53.901785714285715,7.026785714285714
2019-03,7,28,14.290322580645162,0.09556451612903226,52.42741935483871,7.491935483870968
2019-04,11,29,17.733333333333334,0.009166666666666667,50.92916666666667,8.108333333333333
2019-05,10,26,16.64516129032258,0.050806451612903224,58.83467741935484,8.80241935483871
2019-06,14,36,21.633333333333333,0.0008333333333333334,56.3125,7.720833333333333
2019-07,16,36,24.548387096774192,0.0,52.03629032258065,7.241935483870968
2019-08,17,34,25.483870967741936,0.0,49.37903225806452,6.588709677419355
2019-09,13,36,24.066666666666666,0.0045833333333333325,51.825,6.866666666666666
2019-10,9,34,21.0,0.0004032258064516129,35.806451612903224,6.729838709677419
2019-11,6,31,16.933333333333334,0.09250000000000001,44.083333333333336,6.004166666666666
2019-12,5,21,11.903225806451612,0.2125,55.36693548387097,6.55241935483871
2020-01,5,23,12.483870967741936,0.0125,42.891129032258064,5.814516129032258
2020-02,2,27,13.96551724137931,0.01293103448275862,37.918103448275865,6.3405172413793105
2020-03,5,25,12.193548387096774,0.18830645161290321,60.48790322580645,8.056451612903226
2020-04,6,33,16.233333333333334,0.1575,56.795833333333334,7.4125
2020-05,12,34,21.451612903225808,0.0024193548387096775,43.23790322580645,7.645161290322581
2020-06,13,35,22.333333333333332,0.0025000000000000005,46.24166666666667,8.3125
2020-07,16,39,25.451612903225808,0.0,37.70161290322581,7.32258064516129
2020-08,15,40,27.580645161290324,0.0008064516129032258,37.149193548387096,6.596774193548387
2020-09,18,44,27.666666666666668,0.0,29.575,5.8375
2020-10,11,38,23.032258064516128,0.0004032258064516129,36.30241935483871,5.899193548387097
2020-11,7,32,16.8,0.006250000000000001,34.02916666666667,6.058333333333334
2020-12,3,26,13.580645161290322,0.03185483870967742,30.754032258064516,6.55241935483871
2021-01,3,30,12.806451612903226,0.09435483870967741,39.935483870967744,7.459677419354839
2021-02,6,25,13.892857142857142,0.0031249999999999997,40.16517857142857,6.316964285714286
2021-03,4,32,13.064516129032258,0.046774193548387105,47.95564516129032,7.508064516129032
2021-04,7,32,17.233333333333334,0.004583333333333333,44.075,7.858333333333333
2021-05,10,30,19.322580645161292,0.0004032258064516129,50.181451612903224,8.294354838709678
2021-06,11,39,24.3,0.0,39.28333333333333,7.675
2021-07,19,35,26.580645161290324,0.003629032258064516,39.895161290322584,7.729838709677419
2021-08,16,38,25.967741935483872,0.002419354838709678,40.375,7.165322580645161
2021-09,13,38,24.3,0.0,39.420833333333334,6.391666666666667
2021-10,8,34,18.258064516129032,0.02741935483870968,40.528225806451616,6.979838709677419
2021-11,9,32,17.766666666666666,0.0,36.0,5.95
2021-12,4,28,11.129032258064516,0.2403225806451613,53.04435483870968,6.935483870967742
2022-01,4,22,12.32258064516129,0.008870967741935484,35.01209677419355,6.387096774193548
2022-02,3,29,13.535714285714286,0.013839285714285712,28.839285714285715,7.834821428571429
2022-03,4,30,15.612903225806452,0.05725806451612905,40.33870967741935,7.451612903225806
2022-04,7,36,17.4,0.014583333333333334,44.775,8.229166666666666
2022-05,7,35,19.193548387096776,0.0028225806451612906,46.08064516129032,8.209677419354838
2022-06,12,38,24.466666666666665,0.007916666666666667,35.5625,7.654166666666667
2022-07,15,36,24.93548387096774,0.0008064516129032258,40.75403225806452,7.592741935483871
2022-08,17,39,26.870967741935484,0.0,40.33870967741935,7.189516129032258
2022-09,14,41,26.033333333333335,0.02125,45.1125,6.854166666666667
2022-10,10,33,20.483870967741936,0.006048387096774194,45.903225806451616,5.842741935483871
2022-11,6,25,12.933333333333334,0.07333333333333332,37.99583333333333,7.35
2022-12,3,26,10.64516129032258,0.1028225806451613,55.645161290322584,6.149193548387097
2023-01,3,20,9.774193548387096,0.327016129032258,55.04435483870968,7.354838709677419
2023-02,1,26,9.642857142857142,0.15267857142857144,49.10267857142857,7.991071428571429
2023-03,1,19,9.806451612903226,0.1346774193548387,62.74193548387097,8.225806451612904
2023-04,3,32,15.633333333333333,0.009166666666666667,47.8375,7.395833333333333
2023-05,7,30,16.838709677419356,0.020161290322580645,59.98790322580645,8.544354838709678
2023-06,10,34,18.266666666666666,0.006666666666666667,60.07083333333333,8.575
2023-07,14,38,26.35483870967742,0.0,34.0,6.955645161290323
2023-08,16,38,25.322580645161292,0.10040322580645161,41.54032258064516,7.262096774193548
2023-09,11,36,21.066666666666666,0.004166666666666667,54.525,7.533333333333333
2023-10,10,37,20.483870967741936,0.001209677419354839,40.45564516129032,6.399193548387097
2023-11,8,29,16.166666666666668,0.006250000000000001,32.9625,6.641666666666667
2023-12,6,27,13.483870967741936,0.09879032258064516,45.568548387096776,6.125
