month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-09,0001,1-1-179-798,America/Los_Angeles,AG-3F18,148.384
2018-10,0001,1-1-179-798,America/Los_Angeles,AG-3F18,265.02640638888886
2018-11,0001,1-1-179-798,America/Los_Angeles,AG-3F18,218.314
2018-12,0001,1-1-179-798,America/Los_Angeles,AG-3F18,281.70799999999997
2019-01,0001,1-1-179-798,America/Los_Angeles,AG-3F18,348.189
2019-02,0001,1-1-179-798,America/Los_Angeles,AG-3F18,342.526
2019-03,0001,1-1-179-798,America/Los_Angeles,AG-3F18,311.157
2019-04,0001,1-1-179-798,America/Los_Angeles,AG-3F18,250.18099999999998
2019-05,0001,1-1-179-798,America/Los_Angeles,AG-3F18,472.867
2019-06,0001,1-1-179-798,America/Los_Angeles,AG-3F18,304.9
2019-07,0001,1-1-179-798,America/Los_Angeles,AG-3F18,310.11199999999997
2019-08,0001,1-1-179-798,America/Los_Angeles,AG-3F18,252.37800000000001
