month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-09,0001,1-1-179-791,America/Los_Angeles,AG-3F26,215.423
2018-10,0001,1-1-179-791,America/Los_Angeles,AG-3F26,359.54150444444446
2018-11,0001,1-1-179-791,America/Los_Angeles,AG-3F26,237.475
2018-12,0001,1-1-179-791,America/Los_Angeles,AG-3F26,199.586
2019-01,0001,1-1-179-791,America/Los_Angeles,AG-3F26,420.306
2019-02,0001,1-1-179-791,America/Los_Angeles,AG-3F26,257.677
2019-03,0001,1-1-179-791,America/Los_Angeles,AG-3F26,366.537
2019-04,0001,1-1-179-791,America/Los_Angeles,AG-3F26,521.329
2019-05,0001,1-1-179-791,America/Los_Angeles,AG-3F26,390.485
2019-06,0001,1-1-179-791,America/Los_Angeles,AG-3F26,265.76
2019-07,0001,1-1-179-791,America/Los_Angeles,AG-3F26,283.383
2019-08,0001,1-1-179-791,America/Los_Angeles,AG-3F26,344.659
