month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-09,0001,1-1-178-828,America/Los_Angeles,AG-1F10,123.054
2018-10,0001,1-1-178-828,America/Los_Angeles,AG-1F10,388.8321847222222
2018-11,0001,1-1-178-828,America/Los_Angeles,AG-1F10,355.048
2018-12,0001,1-1-178-828,America/Los_Angeles,AG-1F10,309.191
2019-01,0001,1-1-178-828,America/Los_Angeles,AG-1F10,376.389
2019-02,0001,1-1-178-828,America/Los_Angeles,AG-1F10,446.302
2019-03,0001,1-1-178-828,America/Los_Angeles,AG-1F10,453.5
2019-04,0001,1-1-178-828,America/Los_Angeles,AG-1F10,645.991
2019-05,0001,1-1-178-828,America/Los_Angeles,AG-1F10,615.417
2019-06,0001,1-1-178-828,America/Los_Angeles,AG-1F10,500.67353722222225
2019-07,0001,1-1-178-828,America/Los_Angeles,AG-1F10,666.531
2019-08,0001,1-1-178-828,America/Los_Angeles,AG-1F10,620.79
2019-09,0001,1-1-178-828,America/Los_Angeles,AG-1F10,48.859
