month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-09,0001,1-1-179-810,America/Los_Angeles,AG-3F30,234.49
2018-10,0001,1-1-179-810,America/Los_Angeles,AG-3F30,385.793
2018-11,0001,1-1-179-810,America/Los_Angeles,AG-3F30,372.54
2018-12,0001,1-1-179-810,America/Los_Angeles,AG-3F30,301.202
2019-01,0001,1-1-179-810,America/Los_Angeles,AG-3F30,402.593
2019-02,0001,1-1-179-810,America/Los_Angeles,AG-3F30,307.039
2019-03,0001,1-1-179-810,America/Los_Angeles,AG-3F30,705.322
2019-04,0001,1-1-179-810,America/Los_Angeles,AG-3F30,666.755
2019-05,0001,1-1-179-810,America/Los_Angeles,AG-3F30,864.271
2019-06,0001,1-1-179-810,America/Los_Angeles,AG-3F30,528.38
2019-07,0001,1-1-179-810,America/Los_Angeles,AG-3F30,561.372
2019-08,0001,1-1-179-810,America/Los_Angeles,AG-3F30,581.5699999999999
