month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-09,0001,1-1-191-780,America/Los_Angeles,AG-4F45,163.371
2018-10,0001,1-1-191-780,America/Los_Angeles,AG-4F45,269.3771347222222
2018-11,0001,1-1-191-780,America/Los_Angeles,AG-4F45,264.512
2018-12,0001,1-1-191-780,America/Los_Angeles,AG-4F45,240.695
2019-01,0001,1-1-191-780,America/Los_Angeles,AG-4F45,370.948
2019-02,0001,1-1-191-780,America/Los_Angeles,AG-4F45,348.622
2019-03,0001,1-1-191-780,America/Los_Angeles,AG-4F45,358.748
2019-04,0001,1-1-191-780,America/Los_Angeles,AG-4F45,367.896
2019-05,0001,1-1-191-780,America/Los_Angeles,AG-4F45,339.69907027777776
2019-06,0001,1-1-191-780,America/Los_Angeles,AG-4F45,503.714
2019-07,0001,1-1-191-780,America/Los_Angeles,AG-4F45,499.739
2019-08,0001,1-1-191-780,America/Los_Angeles,AG-4F45,383.48870611111107
