month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-09,0001,1-1-194-818,America/Los_Angeles,AG-1F14,253.88400000000001
2018-10,0001,1-1-194-818,America/Los_Angeles,AG-1F14,339.20115555555554
2018-11,0001,1-1-194-818,America/Los_Angeles,AG-1F14,377.975
2018-12,0001,1-1-194-818,America/Los_Angeles,AG-1F14,378.031
2019-01,0001,1-1-194-818,America/Los_Angeles,AG-1F14,513.7
2019-02,0001,1-1-194-818,America/Los_Angeles,AG-1F14,365.532
2019-03,0001,1-1-194-818,America/Los_Angeles,AG-1F14,460.958
2019-04,0001,1-1-194-818,America/Los_Angeles,AG-1F14,562.2379999999999
2019-05,0001,1-1-194-818,America/Los_Angeles,AG-1F14,479.443
2019-06,0001,1-1-194-818,America/Los_Angeles,AG-1F14,501.36400000000003
2019-07,0001,1-1-194-818,America/Los_Angeles,AG-1F14,600.6899999999999
2019-08,0001,1-1-194-818,America/Los_Angeles,AG-1F14,466.617
