month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-09,0001,1-1-179-796,America/Los_Angeles,AG-3F24,168.336
2018-10,0001,1-1-179-796,America/Los_Angeles,AG-3F24,265.3443516666667
2018-11,0001,1-1-179-796,America/Los_Angeles,AG-3F24,349.668
2018-12,0001,1-1-179-796,America/Los_Angeles,AG-3F24,352.38100000000003
2019-01,0001,1-1-179-796,America/Los_Angeles,AG-3F24,321.828
2019-02,0001,1-1-179-796,America/Los_Angeles,AG-3F24,323.969
2019-03,0001,1-1-179-796,America/Los_Angeles,AG-3F24,414.31600000000003
2019-04,0001,1-1-179-796,America/Los_Angeles,AG-3F24,401.076
2019-05,0001,1-1-179-796,America/Los_Angeles,AG-3F24,444.35402916666663
2019-06,0001,1-1-179-796,America/Los_Angeles,AG-3F24,353.33
2019-07,0001,1-1-179-796,America/Los_Angeles,AG-3F24,502.858
2019-08,0001,1-1-179-796,America/Los_Angeles,AG-3F24,413.519
