month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-09,0001,1-1-191-807,America/Los_Angeles,AG-4F47,134.22
2018-10,0001,1-1-191-807,America/Los_Angeles,AG-4F47,301.992
2018-11,0001,1-1-191-807,America/Los_Angeles,AG-4F47,201.127
2018-12,0001,1-1-191-807,America/Los_Angeles,AG-4F47,150.191
2019-01,0001,1-1-191-807,America/Los_Angeles,AG-4F47,363.816
2019-02,0001,1-1-191-807,America/Los_Angeles,AG-4F47,268.23
2019-03,0001,1-1-191-807,America/Los_Angeles,AG-4F47,338.792
2019-04,0001,1-1-191-807,America/Los_Angeles,AG-4F47,389.574
2019-05,0001,1-1-191-807,America/Los_Angeles,AG-4F47,412.645
2019-06,0001,1-1-191-807,America/Los_Angeles,AG-4F47,410.621
2019-07,0001,1-1-191-807,America/Los_Angeles,AG-4F47,349.864
2019-08,0001,1-1-191-807,America/Los_Angeles,AG-4F47,278.99481777777777
