month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-09,0001,1-1-179-779,America/Los_Angeles,AG-3F17,175.174
2018-10,0001,1-1-179-779,America/Los_Angeles,AG-3F17,456.33051027777776
2018-11,0001,1-1-179-779,America/Los_Angeles,AG-3F17,289.174
2018-12,0001,1-1-179-779,America/Los_Angeles,AG-3F17,297.916
2019-01,0001,1-1-179-779,America/Los_Angeles,AG-3F17,544.359
2019-02,0001,1-1-179-779,America/Los_Angeles,AG-3F17,452.652
2019-03,0001,1-1-179-779,America/Los_Angeles,AG-3F17,431.338
2019-04,0001,1-1-179-779,America/Los_Angeles,AG-3F17,456.344
2019-05,0001,1-1-179-779,America/Los_Angeles,AG-3F17,390.985
2019-06,0001,1-1-179-779,America/Los_Angeles,AG-3F17,454.3086775
2019-07,0001,1-1-179-779,America/Los_Angeles,AG-3F17,366.439
2019-08,0001,1-1-179-779,America/Los_Angeles,AG-3F17,399.154
