month,siteID,stationID,timezone,spaceID,kWhDelivered
2018-09,0001,1-1-191-805,America/Los_Angeles,AG-4F39,76.115
2018-10,0001,1-1-191-805,America/Los_Angeles,AG-4F39,292.919
2018-11,0001,1-1-191-805,America/Los_Angeles,AG-4F39,208.06
2018-12,0001,1-1-191-805,America/Los_Angeles,AG-4F39,169.217
2019-01,0001,1-1-191-805,America/Los_Angeles,AG-4F39,320.908
2019-02,0001,1-1-191-805,America/Los_Angeles,AG-4F39,207.191
2019-03,0001,1-1-191-805,America/Los_Angeles,AG-4F39,171.807
2019-04,0001,1-1-191-805,America/Los_Angeles,AG-4F39,186.856
2019-05,0001,1-1-191-805,America/Los_Angeles,AG-4F39,214.93
2019-06,0001,1-1-191-805,America/Los_Angeles,AG-4F39,288.45799999999997
2019-07,0001,1-1-191-805,America/Los_Angeles,AG-4F39,300.524
2019-08,0001,1-1-191-805,America/Los_Angeles,AG-4F39,226.623
